ID,Area,Sub Area,lat,long,Type
"
NW-88009831
","
Cumbria And Lancashire
","
North Cumbria
",54.485042," -2.421804
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88009829
","
Cumbria And Lancashire
","
North Cumbria
",54.536854," -3.456927
","
Trade Discharges – Process Effluent – Not Water Company
"
"
NW-88009846
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.548198," -3.106235
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009824
","
Greater Manchester Merseyside And Cheshire
","
Manchester
",53.476862," -2.313647
","
Miscellaneous Discharges – Surface Water
"
"
NW-88009844
","
Greater Manchester Merseyside And Cheshire
","
Merseyside
",53.417736," -3.119397
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009808
","
Cumbria And Lancashire
","
Ecmas Sampling (Cumbria And Lancashire)
",54.46672," -3.601327
","
Saline Water – Coastal Sites – Non Bathing/Shellfish
"
"
NW-88009806
","
Cumbria And Lancashire
","
Ecmas Sampling (Cumbria And Lancashire)
",54.358452," -3.493079
","
Saline Water – Coastal Sites – Non Bathing/Shellfish
"
"
NW-88009849
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.7491," -3.040369
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009802
","
Cumbria And Lancashire
","
Ecmas Sampling (Cumbria And Lancashire)
",54.191777," -3.351418
","
Saline Water – Coastal Sites – Non Bathing/Shellfish
"
"
NW-88009854
","
Cumbria And Lancashire
","
Morecombe Bay
",53.848879," -3.054867
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009763
","
Greater Manchester Merseyside And Cheshire
","
Manchester
",53.346357," -2.296315
","
Trade Discharges – Site Drainage (Contam Surface Water, Not Waste Sit
"
"
NW-88009845
","
Greater Manchester Merseyside And Cheshire
","
Merseyside
",53.433567," -3.077275
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009787
","
Cumbria And Lancashire
","
North Cumbria
",54.73219," -3.373976
","
Freshwater – Comparative Inlet Points
"
"
NW-88009843
","
Greater Manchester Merseyside And Cheshire
","
Merseyside
",53.407643," -3.15319
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009856
","
Cumbria And Lancashire
","
Morecombe Bay
",53.926569," -3.019971
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009786
","
Cumbria And Lancashire
","
North Cumbria
",54.947885," -2.70563
","
Freshwater – Comparative Inlet Points
"
"
NW-88009762
","
Greater Manchester Merseyside And Cheshire
","
Manchester
",53.357081," -2.285091
","
Trade Discharges – Site Drainage
"
"
NW-88009758
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.619351," -2.871495
","
Freshwater – Rivers
"
"
NW-88009761
","
Greater Manchester Merseyside And Cheshire
","
Manchester
",53.351992," -2.285613
","
Trade Discharges – Site Drainage
"
"
NW-88009654
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.60775," -2.556132
","
Freshwater – Rivers
"
"
NW-88009000
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.826417," -2.374896
","
Groundwater – Borehole
"
"
NW-88009683
","
Cumbria And Lancashire
","
Morecombe Bay
",54.347693," -2.974544
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88008475
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.52659," -2.964927
","
Groundwater – Borehole
"
"
NW-88009574
","
Cumbria And Lancashire
","
North Cumbria
",54.508665," -2.450155
","
Groundwater – Borehole
"
"
NW-88009728
","
Cumbria And Lancashire
","
Ecmas Sampling (Cumbria And Lancashire)
",54.404949," -3.546504
","
Saline Water – Coastal Sites – Non Bathing/Shellfish
"
"
NW-88009656
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.714533," -2.471781
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88009552
","
Cumbria And Lancashire
","
North Cumbria
",54.8368," -2.752423
","
Groundwater – Borehole
"
"
NW-88007172
","
Greater Manchester Merseyside And Cheshire
","
Ecmas Sampling (Gtr Mancs Mersey And Ches)
",53.450057," -3.181324
","
Saline Water – Coastal Sites – Non Bathing/Shellfish
"
"
NW-88009650
","
Greater Manchester Merseyside And Cheshire
","
Unknown
",55.16901," -5.283097
","
Groundwater – Unspecified
"
"
NW-88007171
","
Cumbria And Lancashire
","
Ecmas Sampling (Cumbria And Lancashire)
",53.566878," -3.160161
","
Saline Water – Coastal Sites – Non Bathing/Shellfish
"
"
NW-88007158
","
Cumbria And Lancashire
","
Ecmas Sampling (Cumbria And Lancashire)
",53.987656," -3.163013
","
Saline Water – Coastal Sites – Non Bathing/Shellfish
"
"
NW-88008887
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.629647," -2.600424
","
Groundwater – Borehole
"
"
NW-88006494
","
Cumbria And Lancashire
","
Ecmas Sampling (Cumbria And Lancashire)
",54.960047," -3.236307
","
Saline Water – Estuarine Sites – Non Bathing/Shellfish
"
"
NW-88006483
","
Cumbria And Lancashire
","
North Cumbria
",54.974307," -3.009817
","
Freshwater – Rivers
"
"
NW-88007163
","
Cumbria And Lancashire
","
Ecmas Sampling (Cumbria And Lancashire)
",53.833511," -3.099687
","
Saline Water – Coastal Sites – Non Bathing/Shellfish
"
